API,status,Date(start),Date(end)
employee/add-employement,FALSE,,
employee/add-employement/(:num),FALSE,,
employee/all-employement,FALSE,,
employee/allEmployementNew,FALSE,,
employee/employement-detail/(:num),FALSE,,
employee/delete-employement/(:num),FALSE,,
employee/all-education,FALSE,,
employee/add-education,FALSE,,
employee/add-education/(:num),FALSE,,
employee/education-detail/(:num),FALSE,,
employee/delete-education/(:num),FALSE,,
employee/add-skill,FALSE,,
employee/all-skill,FALSE,,
employee/delete-skill/(:num),FALSE,,
employee/add-portfolio,FALSE,,
employee/add-portfolio/(:num),FALSE,,
employee/all-portfolio,FALSE,,
employee/portfolio-detail/(:num),FALSE,,
employee/delete-portfolio/(:num),FALSE,,
employee/add-certificate,FALSE,,
employee/add-certificate/(:num),FALSE,,
employee/all-certificate,FALSE,,
employee/certificate-detail/(:num),FALSE,,
employee/delete-certificate/(:num),FALSE,,
api/employee/add-document,FALSE,,
api/employee/delete-document/(:num),FALSE,,
employee/add_language,FALSE,,
employee/allLanguage,FALSE,,
employee/language/(:num),FALSE,,
employee/currentCompany,FALSE,,
employee/sendCompanyInvite,FALSE,,
employee/add-review,FALSE,,
employee/add-review/(:num),FALSE,,
employee/deleteReview/(:num),FALSE,,
employee/reviewRemoveDocument,FALSE,,
employee/edit-user,FALSE,,
employee/changeEmploymentBasic,FALSE,,
employee/show-home-review/(:num),FALSE,,
employee/apply-job,FALSE,,
employee/all-user,FALSE,,
employee/applyJobList,FALSE,,
employee/ProfilePercentage,FALSE,,
employee/approvedEmployment/(:num),FALSE,,
employee/AllViewRequest,FALSE,,
employee/approvedVeiwRequest,FALSE,,
employee/rejectVeiwRequest/(:num),FALSE,,
employee/deleteViewRequest/(:num),FALSE,,
employee/checkCurrentCompany,FALSE,,
employee/dashboard,FALSE,,
employee/appliedjob,FALSE,,
employee/remove-resume,FALSE,,
auth/company-profile/(:any),FALSE,,
general/markViewed/(:num),FALSE,,
employee/sidebar-count,FALSE,,
employee/leave-reminder-experience,FALSE,,
hired,FALSE,,
employee/save-exploring,FALSE,,
employee/cv-details,FALSE,,
employee/edit-profile,FALSE,,
employee/all-company,FALSE,,
employee/user-detail,FALSE,,
user/getSetting,FALSE,,
user/saveSetting,FALSE,,
auth/user-profile/(:any),FALSE,,
company/sendUserProfileViewRequest,FALSE,,
people-list,FALSE,,
company/getSetting,FALSE,,
company/saveSetting,FALSE,,
